questionTitle,questionDescription,optionA,optionB,optionC,optionD,correctOption,marks,difficulty
"What is the time complexity of accessing an element in an array?","","O(n)","O(log n)","O(1)","O(n log n)","C",1,"EASY"
"What is the worst-case time complexity of Bubble Sort?","","O(n)","O(n^2)","O(log n)","O(n log n)","B",1,"EASY"
"Binary Search works only on:","","Unsorted array","Sorted array","Linked list","Stack","B",1,"EASY"
"Best case time complexity of optimized Bubble Sort?","","O(n)","O(n^2)","O(log n)","O(1)","A",1,"EASY"
"Space complexity of Merge Sort is:","","O(1)","O(n)","O(log n)","O(n^2)","B",1,"EASY"
"Recursion must have:","","Loop","Base condition","Class","Object","B",1,"EASY"
"Factorial of 5 equals:","","20","60","120","240","C",1,"EASY"
"Fibonacci sequence starts with:","","1,2","0,1","2,3","1,3","B",1,"EASY"
"Stack follows which principle?","","FIFO","LIFO","LILO","FILO","B",1,"EASY"
"Which operation removes element from stack?","","Push","Add","Pop","Insert","C",1,"EASY"
"Balanced parentheses problem uses:","","Queue","Stack","Array only","Tree","B",1,"EASY"
"Queue follows which principle?","","LIFO","FILO","FIFO","LILO","C",1,"EASY"
"Circular Queue helps to:","","Increase memory","Avoid memory wastage","Sort data","Reverse data","B",1,"EASY"
"In linked list, elements are stored:","","Contiguously","Randomly in memory","Stack memory","Cache","B",1,"EASY"
"Insert at beginning of singly linked list takes:","","O(1)","O(n)","O(log n)","O(n^2)","A",1,"EASY"
"Which detects loop in linked list?","","Single pointer","Double pointer (Floyd's Algorithm)","Stack","Queue","B",1,"EASY"
"Time complexity of Binary Search:","","O(n)","O(n^2)","O(log n)","O(1)","C",1,"EASY"
"Selection Sort time complexity:","","O(n)","O(n^2)","O(log n)","O(n log n)","B",1,"EASY"
"Insertion Sort efficient for:","","Large unsorted data","Small/nearly sorted data","Random only","None","B",1,"EASY"
"HashMap allows:","","Duplicate keys","Null values","Ordered data","Sorted data","B",1,"EASY"
"HashSet stores:","","Duplicate elements","Unique elements","Sorted elements","Indexed elements","B",1,"EASY"
"Average search time in HashMap:","","O(1)","O(n)","O(log n)","O(n^2)","A",1,"EASY"
"Inorder traversal of BST gives:","","Reverse order","Sorted order","Random order","Level order","B",1,"EASY"
"Height of binary tree with one node:","","0","1","2","-1","B",1,"EASY"
"Leaf node has:","","Two children","One child","No children","Parent only","C",1,"EASY"
"Min-Heap property ensures:","","Parent ≥ children","Parent ≤ children","Sorted array","Balanced BST","B",1,"EASY"
"Max-Heap is used to find:","","Minimum element","Average","Maximum element","Median only","C",1,"EASY"
"Time to insert in heap:","","O(1)","O(n)","O(log n)","O(n log n)","C",1,"EASY"
"Which structure used in BFS?","","Stack","Queue","Array","Tree","B",1,"EASY"
"Which structure used in DFS?","","Queue","Stack","Heap","HashMap","B",1,"EASY"
